Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-12-04,207.61900329589844,208.606931406567,206.4761031719986,207.48340647905724,24666000
2020-12-07,207.55117797851562,208.76186900750233,206.292071131524,207.62866397784396,24620000
2020-12-08,209.2171173095703,210.1275594467685,206.19523683627006,207.24127579524594,23284100
2020-12-09,205.1395263671875,208.46165603108906,204.56808364967404,208.3938650067981,32440600
2020-12-10,203.8997344970703,206.37922723845773,203.74476250599795,205.11042546680576,26733300
2020-12-11,206.5535888671875,206.61171445627005,202.53410019056983,203.44454229325007,30979400
2020-12-14,207.4640350341797,209.4108358856075,206.18555284926484,206.3986356765748,28798400
2020-12-15,207.396240234375,208.64566699088186,205.5656758178054,208.4035287623465,27000600
2020-12-16,212.38426208496094,213.18816270243195,207.9676635717244,207.99671897413174,35023300
2020-12-17,212.51988220214844,213.94365619206664,211.0670528066356,212.95572806501332,32515800
2020-12-18,211.71595764160156,212.7813716565111,209.22678457613935,211.71595764160156,63354900
2020-12-21,215.59022521972656,216.9558886011723,210.44721076082138,210.7087242289369,37181900
2020-12-22,216.8977508544922,218.53460771116534,214.87347872784875,215.6870596621535,22612200
2020-12-23,214.06956481933594,216.5296826679276,213.8564820002913,216.093836821316,18699600
2020-12-24,215.7451629638672,216.57811906635573,214.24390298184258,214.4569858065916,10550600
2020-12-28,217.88565063476562,218.92199447541424,216.00665578428772,217.39167923408627,17933500
2020-12-29,217.10113525390625,220.03584947525525,216.54906776401083,219.19321314801988,17403200
2020-12-30,214.7087860107422,218.53458154358347,214.5053981909925,218.1471515410593,20272300
2020-12-31,215.42555236816406,215.98731487089816,212.77171187847787,214.72819303918004,20942100
2021-01-04,210.84429931640625,215.9873132447325,208.0548620214718,215.53209216454678,37130100
2021-01-05,211.0476531982422,211.64816599527592,208.91683995374808,210.4277799856813,23823000
2021-01-06,205.5753173828125,209.68198628722743,205.27506840050012,205.4978313907735,35930700
2021-01-07,211.42539978027344,212.44238325096057,206.9894406350447,207.30905007711348,27694500
2021-01-08,212.71359252929688,213.64340985694946,210.2050439548537,211.80315039860136,22956200
2021-01-11,210.6505889892578,212.02593242158576,209.91447927974048,211.59976675374844,23031300
2021-01-12,208.1710662841797,210.27283906832474,206.61171031359513,209.6917014207081,23249300
2021-01-13,209.5367431640625,209.9435336325167,207.2025269908166,207.28970798894235,20087100
2021-01-14,206.32113647460938,210.62151358139647,206.0499428533655,209.12025367733247,29480800
2021-01-15,205.9627685546875,207.76427754230542,205.36227048512964,206.8054196285204,31746500
2021-01-19,209.63360595703125,210.15661805501554,205.94342152769167,207.02819611844157,30480900
2021-01-20,217.28518676757812,218.68958572832648,210.45688483827806,210.85399513403934,37777300
2021-01-21,217.89535522460938,219.18353240314235,215.42554228167612,217.63384179374833,30709400
2021-01-22,218.8445281982422,222.8349762579029,218.69925117256355,219.9389977215034,30172700
2021-01-25,222.3119659423828,222.55410418915307,217.16895194561408,221.91485567073263,33152100
2021-01-26,225.02389526367188,226.8157092472366,222.84465125578248,224.56867422193056,49169600
2021-01-27,225.5759735107422,232.87887094471992,222.90277272036116,230.51559940967024,69870600
2021-01-28,231.41636657714844,235.00970479343928,227.6971265176133,228.2007782274294,49111200
